Emotion,Text
sadness,When my dog died.  I had reared it for nearly three years.  It  had been ill for several days and had not eaten anything.  One  morning I found it dead.     
disgust,On a trip to Santander a child sitting beside me fell ill and  started to vomit     
shame,I fell down in the bus when it braked suddenly and everybody  started looking at me.     
guilt,When I finished a test type of exam and did not dare to answer  any question     
joy,When I was back home after a long time     
disgust,When I heard about the treatment of a friend in jail. Really  inhuman. I never realised that such things also happen in the  Netherlands.     
shame,I cannot remember a situation in which I felt ashamed. I was  eating with some people and a little boy I took care of. I warned  him often not to knock down his glass of mild. When I took  out his chair I knocked down my own glass.     
guilt,My mother always took my side. That brought about quarrels with  my father. I knew she didn't like that and I felt very sorry for  that.     
joy,When on holiday in Greece I called my best friend     
fear,Together with a little brother I biked on a lonely road in the  Polder. Then we were annoyed by a boy on a motorbike: he  took over     
anger,We lived with 3 persons in the loft of a house. It often occurred  that other persons again and again climbed the stairs with much  noise. When I was studying I couldn't concentrate and got angry.     
sadness,"I partly colored my hair black. My mother didn't like it and  reproached me to be a \subversive element\"". Later on she stated  that this was due to my friends. As I see it    "
disgust,I was shopping in Utrecht with friends     
shame,I had subscribed for this test. We were informed by our  secretary where the test took place. We went over there and thought  there was a course. So we went back again I felt ashamed that the  secretary again should see me.     
guilt,I was out with a friend in a place where it was very     
joy,It appeared that I gave correct answers to all questions during  an examination of personality while I thought I performed very  badly. Even now     
fear,My father was very angry with me     
anger,My sister borrowed some LP records for a party. She had left them  in the car on curatao. Due to the heat they were crooked     
sadness,When my grandmother died     
disgust,"When I watched TV and saw a performance of \Prince\"" (a popidol).  Disgusting he'd better be a stallion.""    "
shame,We had arranged a beach party with 20 people. There my father got  drunk I felt very ashamed.     
guilt,When I flew out to my mother and made rude remarks because I felt  so tense (studied too hard for an examination).     
joy,Unofficially I was informed about my results of the final  examination of the secondary school. A teacher wrote them up for  me. When I went outside     
fear,I am thinking about death     
anger,If they force me to eat something I don't like. For example     
